sample_index,delta_26Mg_raw,delta_26Mg_corrected,delta_26Mg_1sigma,f_silicate,f_carbonate,delta_river_inferred
1,-0.211791760370009,-0.211791760370009,0.0057776004695448,0.8051301497687443,0.1948698502312557,-0.211791760370009
2,-0.279563885023966,-0.279563885023966,0.0249478804705258,0.7627725718600211,0.23722742813997888,-0.279563885023966
3,-0.250797942674134,-0.250797942674134,0.0301982781040148,0.7807512858286662,0.21924871417133385,-0.250797942674134
4,-0.317202497044037,-0.317202497044037,0.0100584669580444,0.7392484393474769,0.26075156065252314,-0.317202497044037
5,-0.222607393589817,-0.222607393589817,0.0269629979131645,0.7983703790063643,0.20162962099363568,-0.222607393589817
6,-0.292902166358285,-0.292902166358285,0.03122182840591905,0.7544361460260719,0.2455638539739281,-0.292902166358285
7,0.068961190678448,0.068961190678448,0.02988826867651235,0.98060074417403,0.01939925582597002,0.068961190678448
8,0.0826339743180102,0.0826339743180102,0.02285778499761205,0.9891462339487563,0.010853766051243663,0.0826339743180102
9,0.021744063877279,0.021744063877279,0.01670303077529,0.9510900399232993,0.048909960076700676,0.021744063877279
10,0.148301264675851,0.148301264675851,0.026609382490353,1.0,0.0,0.148301264675851
11,0.0730233962187263,0.0730233962187263,0.0148584382778203,0.983139622636704,0.016860377363296042,0.0730233962187263
12,-0.111244095642674,-0.111244095642674,0.02073241377995935,0.8679724402233288,0.13202755977667124,-0.111244095642674
13,0.0924917545989077,0.0924917545989077,0.00848388080673755,0.9953073466243173,0.004692653375682698,0.0924917545989077
14,0.0450349122036973,0.0450349122036973,0.03168389881974005,0.9656468201273107,0.034353179872689266,0.0450349122036973
15,0.062224864683321,0.062224864683321,0.0082193671207369,0.9763905404270756,0.023609459572924374,0.062224864683321
16,0.031544566221394,0.031544566221394,0.01849406669896135,0.9572153538883712,0.0427846461116288,0.031544566221394
17,0.113430896828633,0.113430896828633,0.0143235484448689,1.0,0.0,0.113430896828633
18,-0.381614327100898,-0.381614327100898,0.01588400790409135,0.6989910455619387,0.3010089544380613,-0.381614327100898
19,-0.0180385121494355,-0.0180385121494355,0.0192308127978674,0.9262259299066028,0.0737740700933972,-0.0180385121494355
20,0.0347993319007922,0.0347993319007922,0.003669578851187535,0.9592495824379951,0.040750417562004926,0.0347993319007922
